kytreasno,type,maturity_date,ttm,cpn_rate,price,reported_ytm_percent,calculated_ytm_percent,ytm_difference_bps
208241,bill,2025-06-12,0.1177275838466804,0.0,99.50686165,4.2435640266358385,4.243564026635793,-4.5102810375396984e-12
207903,note,2025-06-15,0.1259411362080766,2.875,99.82732125,4.251345917040927,3.225927992132655,-102.54179249082722
208350,bill,2025-06-17,0.1314168377823409,0.0,99.44970835,4.243327177195644,4.243327177195511,-1.3322676295501878e-11
208328,bill,2025-06-20,0.1396303901437372,0.0,99.41479165,4.2479192431176935,4.2479192431177815,8.81239525796218e-12
208351,bill,2025-06-24,0.1505817932922656,0.0,99.367,4.261829609954182,4.261829609954004,-1.7763568394002505e-11
208329,bill,2025-06-26,0.1560574948665298,0.0,99.34155925,4.278287911440648,4.278287911440648,0.0
208073,note,2025-06-30,0.1670088980150582,4.625,100.0559386,4.2941636777001255,4.5105996337132295,21.643595601310434
207560,note,2025-06-30,0.1670088980150582,0.25,99.3426328,4.2421809299996385,26.488863500303754,2224.6682570304115
207224,note,2025-06-30,0.1670088980150582,2.75,99.75414264999999,4.248425986149407,3.249704336965644,-99.87216491837626
208352,bill,2025-07-01,0.1697467488021903,0.0,99.2871896,4.2590101576450055,4.259010157644871,-1.339206523454095e-11
208330,bill,2025-07-03,0.1752224503764545,0.0,99.26675,4.244510572369142,4.244510572368965,-1.7763568394002505e-11
208364,bill,2025-07-08,0.188911704312115,0.0,99.21049169999999,4.2401519959024645,4.240151995902641,1.7694179454963432e-11
208254,bill,2025-07-10,0.1943874058863792,0.0,99.18621114999999,4.248040984498358,4.248040984498491,1.3322676295501878e-11
208365,bill,2025-07-15,0.2080766598220397,0.0,99.12895835,4.249001341054504,4.249001341054326,-1.7832957333041577e-11
207915,note,2025-07-15,0.2080766598220397,3.0,99.728798,4.331604206435413,3.552037195916019,-77.95670105193942
208340,bill,2025-07-17,0.2135523613963039,0.0,99.10669305,4.246327663416416,4.246327663416416,0.0
208366,bill,2025-07-22,0.2272416153319644,0.0,99.0469398,4.25886396017221,4.25886396017221,0.0
208341,bill,2025-07-24,0.2327173169062286,0.0,99.02825415,4.240396787424539,4.240396787424405,-1.339206523454095e-11
208367,bill,2025-07-29,0.2464065708418891,0.0,98.96726005,4.2576817901297295,4.2576817901296415,-8.81239525796218e-12
208085,note,2025-07-31,0.2518822724161533,4.75,100.1062978,4.338749363915495,4.532586360415756,19.38369965002615
208342,bill,2025-07-31,0.2518822724161533,0.0,98.94263055,4.265063392301771,4.265063392301638,-1.3322676295501878e-11
207232,note,2025-07-31,0.2518822724161533,2.875,99.6341685,4.361756896967961,3.6199057555239937,-74.18511414439672
207580,note,2025-07-31,0.2518822724161533,0.25,98.9934634,4.3116551138523205,27.287734232359423,2297.6079118507105
208376,bill,2025-08-05,0.2655715263518138,0.0,98.88666665,4.260472636757351,4.26047263675744,8.881784197001252e-12
208271,bill,2025-08-07,0.271047227926078,0.0,98.86313195,4.2631797057496525,4.263179705749653,6.938893903907228e-14
208377,bill,2025-08-12,0.2847364818617386,0.0,98.80219585,4.27720266255962,4.277202662559709,8.951173136040325e-12
208353,bill,2025-08-14,0.2902121834360027,0.0,98.78265625,4.265253358173693,4.26525335817356,-1.3322676295501878e-11
206889,note,2025-08-15,0.2929500342231348,2.0,99.3255697,4.351063494351814,3.3715996899033382,-97.94638044484758
207929,note,2025-08-15,0.2929500342231348,3.125,99.65881455,4.324059330299379,3.8204055679286726,-50.365376237070656
204085,bond,2025-08-15,0.2929500342231348,6.875,100.8433393,3.9849832092492488,5.144932165093397,115.99489558441478
208378,bill,2025-08-19,0.3039014373716633,0.0,98.7204861,4.2826688774509245,4.282668877450879,-4.5102810375396984e-12
208354,bill,2025-08-21,0.3093771389459274,0.0,98.7015389,4.269435347037476,4.269435347037431,-4.440892098500626e-12
208379,bill,2025-08-26,0.3230663928815879,0.0,98.6419469,4.27754103371929,4.27754103371929,0.0
208355,bill,2025-08-28,0.3285420944558521,0.0,98.62916545,4.245779406309946,4.245779406310124,1.7763568394002505e-11
207246,note,2025-08-31,0.3367556468172485,2.75,99.4831669,4.281617549608896,3.8033230323309346,-47.82945172779614
208101,note,2025-08-31,0.3367556468172485,5.0,100.1996615,4.340486589557235,4.591509523213259,25.10229336560234
207593,note,2025-08-31,0.3367556468172485,0.25,98.6695241,4.268563030196404,28.033936569883572,2376.5373539687166
208380,bill,2025-09-02,0.3422313483915126,0.0,98.61772685,4.108813687241186,4.108813687241186,0.0
208272,bill,2025-09-04,0.3477070499657768,0.0,98.55425939999999,4.23243837010947,4.23243837010947,0.0
208368,bill,2025-09-11,0.3668720054757016,0.0,98.48179879999999,4.21374145575677,4.213741455756725,-4.440892098500626e-12
207946,note,2025-09-15,0.37782340862423,3.5,99.7513708,4.1344663017488505,4.0072215228143735,-12.72447789344773
208369,bill,2025-09-18,0.3860369609856263,0.0,98.40895834999999,4.198066482808516,4.198066482808693,1.7763568394002505e-11
208370,bill,2025-09-25,0.405201916495551,0.0,98.33359165,4.190486209126254,4.190486209126165,-8.881784197001252e-12
